O*NET-SOC Code,알기,짜기,꺼내기,다루기,돌보기,이끌기,Title
15-1221.00,4.039333333333333,3.193333333333333,3.35,1.925,2.586,2.6815384615384614,Computer and Information Research Scientists
15-1231.00,3.6379999999999995,3.026666666666667,3.085,2.311666666666667,2.522,2.434615384615385,Computer Network Support Specialists
15-1232.00,3.664666666666667,2.9299999999999997,2.825,2.54,2.7859999999999996,2.676923076923077,Computer User Support Specialists
15-1241.00,3.6599999999999997,3.3333333333333335,3.0250000000000004,2.3333333333333335,2.7800000000000002,2.773076923076923,Computer Network Architects
15-1241.01,3.6413333333333333,3.453333333333333,3.695,2.715,3.114,3.124615384615385,Telecommunications Engineering Specialists
15-1242.00,3.448666666666667,3.258333333333333,2.5949999999999998,1.6216666666666664,2.414,2.5007692307692313,Database Administrators
15-1243.00,3.7073333333333323,3.1333333333333333,3.1399999999999997,1.24,2.714,2.8907692307692305,Database Architects
15-1243.01,3.6133333333333337,2.9283333333333332,2.7199999999999998,1.19,2.4219999999999997,2.635384615384616,Data Warehousing Specialists
15-1244.00,3.5373333333333337,2.7116666666666664,3.2,2.0666666666666664,2.3539999999999996,2.390769230769231,Network and Computer Systems Administrators
15-1251.00,3.7653333333333325,2.8633333333333333,3.0749999999999997,1.6183333333333332,2.5460000000000003,2.6623076923076923,Computer Programmers
15-1252.00,3.38,2.9949999999999997,3.01,1.4966666666666668,2.442,2.163846153846154,Software Developers
15-1253.00,3.574666666666667,3.2083333333333335,2.645,1.3566666666666665,2.556,2.803846153846154,Software Quality Assurance Analysts and Testers
15-1254.00,3.4966666666666666,3.1316666666666664,2.98,1.4383333333333332,2.4659999999999997,2.673076923076923,Web Developers
15-1255.00,3.5446666666666666,2.641666666666666,3.21,1.2750000000000001,2.248,2.0876923076923077,Web and Digital Interface Designers
15-1255.01,3.3146666666666667,3.0366666666666666,3.5250000000000004,1.28,2.378,2.861538461538461,Video Game Designers
15-1299.01,3.5860000000000003,3.2066666666666666,3.1500000000000004,1.655,2.8899999999999997,3.0469230769230764,Web Administrators
15-1299.02,3.5000000000000004,2.97,3.015,1.7083333333333333,2.622,2.4784615384615383,Geographic Information Systems Technologists and Technicians
15-1299.03,3.5286666666666666,3.435,2.4699999999999998,1.808333333333333,2.8600000000000003,3.2853846153846153,Document Management Specialists
15-1299.04,3.8886666666666665,3.15,3.45,1.9133333333333333,2.8600000000000003,2.7407692307692306,Penetration Testers
15-1299.05,3.701333333333333,3.2116666666666664,3.13,1.7466666666666664,3.0,2.9953846153846153,Information Security Engineers
15-1299.06,3.8240000000000003,2.9583333333333335,2.83,2.123333333333333,2.756,2.4015384615384607,Digital Forensics Analysts
15-1299.07,3.666666666666666,3.2783333333333338,3.0700000000000003,1.6233333333333333,2.508,2.767692307692308,Blockchain Engineers
15-1299.08,3.6686666666666663,3.2116666666666664,3.115,2.408333333333333,2.936,2.8246153846153845,Computer Systems Engineers/Architects
15-1299.09,3.9413333333333336,4.483333333333333,3.185,1.79,3.444,4.007692307692308,Information Technology Project Managers
15-2011.00,3.6799999999999997,2.9450000000000003,2.2800000000000002,1.0450000000000002,2.5119999999999996,2.8123076923076926,Actuaries
15-2021.00,3.58,2.716666666666667,3.0,1.2666666666666668,2.8739999999999997,2.6923076923076925,Mathematicians
15-2031.00,3.842666666666667,3.283333333333333,2.955,1.4466666666666665,2.824,2.8976923076923073,Operations Research Analysts
15-2041.00,3.936666666666666,2.891666666666667,2.575,1.175,2.748,2.7423076923076923,Statisticians
15-2041.01,3.5866666666666664,2.9899999999999998,2.46,1.4166666666666667,2.7960000000000003,2.8330769230769235,Biostatisticians
15-2051.00,3.752,2.7099999999999995,2.605,1.155,2.386,2.516153846153846,Data Scientists
15-2051.01,3.7006666666666663,2.856666666666667,2.43,1.055,2.5520000000000005,2.582307692307692,Business Intelligence Analysts
15-2051.02,3.4566666666666666,3.3300000000000005,2.525,1.3166666666666667,2.58,2.8884615384615384,Clinical Data Managers
15-2099.01,3.818,2.6733333333333333,3.385,1.5899999999999999,2.468,2.3007692307692307,Bioinformatics Technicians
17-1011.00,3.592666666666667,3.768333333333333,4.555,1.7166666666666668,3.29,3.4984615384615387,"Architects, Except Landscape and Naval"
17-1012.00,3.3873333333333338,3.2916666666666665,4.525,1.7166666666666666,3.082,3.1992307692307693,Landscape Architects
17-1021.00,3.738666666666667,3.263333333333333,3.58,2.0833333333333335,2.762,2.4723076923076923,Cartographers and Photogrammetrists
17-1022.00,3.8019999999999996,3.6500000000000004,3.465,2.936666666666667,3.3200000000000003,3.3423076923076924,Surveyors
17-1022.01,3.854666666666667,3.08,3.225,2.8533333333333335,2.856,2.6553846153846155,Geodetic Surveyors
17-2011.00,3.9,3.2383333333333333,4.52,2.115,2.506,2.8715384615384614,Aerospace Engineers
17-2021.00,3.975333333333333,3.566666666666667,4.125,2.671666666666667,2.832,2.926153846153846,Agricultural Engineers
17-2031.00,3.8966666666666665,3.268333333333333,3.695,2.315,2.86,2.993076923076923,Bioengineers and Biomedical Engineers
17-2041.00,3.6479999999999992,3.1183333333333336,3.565,1.9583333333333333,2.692,2.880769230769231,Chemical Engineers
17-2051.00,3.546666666666667,3.603333333333333,3.8549999999999995,1.58,2.976,3.3053846153846154,Civil Engineers
17-2051.01,3.686,3.643333333333333,3.77,1.8483333333333334,3.554,3.403076923076923,Transportation Engineers
17-2051.02,3.6793333333333336,3.5133333333333336,3.76,1.8049999999999997,3.176,3.3569230769230773,Water/Wastewater Engineers
17-2061.00,3.9360000000000004,3.3183333333333334,4.1,2.0133333333333336,2.706,2.963846153846154,Computer Hardware Engineers
17-2071.00,3.7933333333333334,3.7450000000000006,4.29,2.225,2.826,2.8376923076923077,Electrical Engineers
17-2072.00,3.662666666666667,2.903333333333333,4.0649999999999995,2.6933333333333334,2.416,2.4838461538461534,"Electronics Engineers, Except Computer"
